telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Csorvás;26709;város;9 018;4 748;2 357;52,65
Csót;32878;község;2 002;920;359;45,95
Csöde;27492;község;1 061;69;55;6,50
Csögle;32814;község;1 691;592;299;35,01
Csökmõ;12450;nagyközség;6 897;1 875;866;27,19
Csököly;24314;község;2 984;1 047;396;35,09
Csömend;27270;község;866;298;133;34,41
Csömödér;29364;község;779;632;260;81,13
Csömör;22804;nagyközség;2 270;9 406;3 364;414,36
Csönge;22390;község;2 527;380;191;15,04
Csörnyeföld;33978;község;2 121;389;208;18,34
Csörög;34333;község;505;1 977;699;391,49
Csörötnek;04224;község;2 053;882;323;42,96
Csõsz;06734;község;1 711;979;392;57,22
Csõvár;26985;község;1 717;621;244;36,17
Csurgó;21315;város;5 942;4 806;2 089;80,88
Csurgónagymarton;10603;község;1 482;151;82;10,19
Dabas;09247;város;16 599;16 905;6 711;101,84
Dabronc;17172;község;2 028;361;197;17,80
Dabrony;28237;község;1 700;376;196;22,12
Dad;33163;község;2 375;977;379;41,14
Dág;22910;község;1 189;944;390;79,39
Dáka;20154;község;2 540;621;173;24,45
Dalmand;29230;község;4 877;1 201;519;24,63
Damak;11350;község;753;252;102;33,47
Dámóc;07719;község;1 599;343;183;21,45
Dánszentmiklós;31811;község;3 800;2 868;1 068;75,47
Dány;18397;község;4 301;4 498;1 527;104,58
Daraboshegy;15990;község;459;87;66;18,95
Darány;31352;község;2 810;879;334;31,28
Darnó;18795;község;464;152;58;32,76
Darnózseli;21865;község;1 961;1 569;588;80,01
Daruszentmiklós;34342;község;1 912;1 317;557;68,88
Darvas;14678;község;4 231;529;281;12,50
Dávod;10533;község;6 921;1 927;1 058;27,84
Debercsény;07320;község;543;78;52;14,36
Debrecen;15130;megyeszékhely, megyei jogú város;46 166;201 981;96 033;437,51
Debréte;31954;község;962;14;26;1,46
Decs;24989;nagyközség;9 468;3 710;1 503;39,18
Dédestapolcsány;04686;község;2 943;1 471;742;49,98
Dég;32753;község;4 689;2 218;865;47,30
Dejtár;12511;község;2 142;1 404;569;65,55
Délegyháza;09973;község;2 542;3 995;1 501;157,16
Demecser;17756;város;3 699;4 141;1 485;111,95
Demjén;08660;község;2 508;582;334;23,21
Dencsháza;07773;község;1 398;553;212;39,56
Dénesfa;32595;község;1 754;347;178;19,78
Derecske;05573;város;10 359;8 526;3 397;82,31
Derekegyház;07834;község;5 378;1 545;674;28,73
Deszk;24077;község;5 205;3 548;1 363;68,17
Detek;10524;község;968;257;126;26,55
Detk;09201;község;2 808;1 154;536;41,10
Dévaványa;24819;város;21 655;7 577;3 334;34,99
Devecser;32276;város;6 411;4 266;1 753;66,54
Dinnyeberki;11952;község;856;79;52;9,23
Diósberény;11688;község;1 775;325;172;18,31
Diósd;24013;város;575;10 148;3 812;1764,87
Diósjenõ;06743;község;5 750;2 804;1 117;48,77
Dióskál;28778;község;1 963;456;262;23,23
Diósviszló;32373;község;1 581;669;258;42,31
Doba;10870;község;2 122;431;258;20,31
Doboz;33190;nagyközség;5 447;3 956;1 893;72,63
Dobri;25885;község;789;143;103;18,12
Dobronhegy;32708;község;215;142;65;66,05
Dóc;30535;község;4 943;680;301;13,76
Domaháza;25690;község;2 882;752;327;26,09
Domaszék;13383;község;5 215;4 971;2 030;95,32
Dombegyház;24031;nagyközség;5 794;2 010;1 028;34,69
Dombiratos;22132;község;1 830;533;416;29,13
Dombóvár;07685;város;7 848;18 311;8 411;233,32
Dombrád;14508;város;5 184;3 944;1 424;76,08
Domony;04808;község;2 180;2 110;737;96,79
Domoszló;07515;község;4 022;1 916;957;47,64
Dormánd;30261;község;2 006;1 037;389;51,69
Dorog;10490;város;1 154;11 749;5 148;1018,11
Dorogháza;24439;község;1 768;1 033;575;58,43
Dozmat;16151;község;854;247;100;28,92
Döbörhegy;20695;község;1 175;107;108;9,11
Döbröce;07782;község;270;79;47;29,26
Döbrököz;02565;község;4 313;1 965;964;45,56
Döbrönte;29470;község;1 079;231;115;21,41
Döge;03647;község;1 654;2 298;745;138,94
Dömös;06594;község;2 399;1 106;520;46,10
Dömsöd;29647;nagyközség;7 242;5 620;2 381;77,60
Dör;21917;község;1 101;704;223;63,94
Dörgicse;06363;község;1 912;246;159;12,87
Döröske;03036;község;440;76;77;17,27
Dötk;16009;község;172;42;21;24,42
Dövény;06123;község;1 165;293;120;25,15
Drágszél;07524;község;1 259;306;169;24,31
Drávacsehi;28617;község;740;178;83;24,05
Drávacsepely;28121;község;660;183;89;27,73
Drávafok;17419;község;2 390;499;212;20,88
Drávagárdony;13611;község;627;174;63;27,75
Drávaiványi;32391;község;1 101;194;88;17,62
Drávakeresztúr;09159;község;1 297;121;97;9,33
Drávapalkonya;22734;község;1 013;263;105;25,96
Drávapiski;12380;község;491;67;40;13,65
Drávaszabolcs;28608;község;1 122;719;289;64,08
Drávaszerdahely;30030;község;624;165;76;26,44
Drávasztára;21698;község;1 818;390;226;21,45
Drávatamási;15884;község;845;381;103;45,09
Drégelypalánk;08156;község;2 218;1 472;646;66,37
Dubicsány;27669;község;1 300;209;119;16,08
Dudar;02936;község;2 458;1 652;655;67,21
Duka;02927;község;1 524;217;164;14,24
Dunaalmás;33835;község;1 483;1 593;666;107,42
Dunabogdány;25362;község;2 550;3 089;1 229;121,14
Dunaegyháza;21069;község;1 012;1 377;723;136,07
Dunafalva;12566;község;5 790;920;570;15,89
Dunaföldvár;31501;város;11 142;8 512;4 079;76,40
Dunaharaszti;09584;város;2 917;21 469;8 101;736,00
Dunakeszi;18616;város;3 106;43 005;17 335;1384,58
Dunakiliti;27739;község;3 363;1 873;749;55,69
Dunapataj;07861;nagyközség;9 047;3 015;1 593;33,33
Dunaremete;02079;község;436;258;112;59,17
Dunaszeg;21078;község;1 726;2 090;717;121,09
Dunaszekcsõ;09186;község;3 675;1 858;922;50,56
Dunaszentbenedek;11606;község;2 324;781;422;33,61
Dunaszentgyörgy;09539;község;3 763;2 573;1 035;68,38
Dunaszentmiklós;24101;község;776;482;190;62,11
Dunaszentpál;15875;község;981;720;267;73,39
Dunasziget;10454;község;3 589;1 654;631;46,09
Dunatetétlen;14766;község;4 319;504;256;11,67
Dunaújváros;03115;megyei jogú város;5 267;44 640;23 022;847,54
Dunavarsány;20534;város;2 252;7 798;2 966;346,27
Dunavecse;07612;város;6 677;3 825;1 676;57,29
Dusnok;04109;község;5 747;2 768;1 252;48,16
Dúzs;19202;község;1 127;243;115;21,56
Ebergõc;26347;község;502;167;87;33,27
Ebes;14614;község;7 730;4 513;1 629;58,38
Écs;16708;község;1 985;2 025;745;102,02
Ecséd;17181;község;4 160;3 100;1 431;74,52
Ecseg;04251;község;2 410;1 173;515;48,67
Ecsegfalva;09432;község;7 899;1 209;557;15,31
Ecseny;10861;község;1 292;198;160;15,33
Ecser;24518;nagyközség;1 310;3 790;1 539;289,31
Edde;03489;község;851;198;79;23,27
Edelény;10728;város;5 682;9 413;3 521;165,66
Edve;22442;község;505;101;72;20,00
Eger;20491;megyeszékhely, megyei jogú város;9 221;53 876;26 382;584,28
Egerág;28918;község;1 301;917;340;70,48
Egeralja;33871;község;894;226;114;25,28
Egeraracsa;24262;község;703;289;168;41,11
Egerbakta;12821;község;3 237;1 427;533;44,08
Egerbocs;26019;község;1 595;540;272;33,86
Egercsehi;16610;község;1 039;1 239;635;119,25
Egerfarmos;02981;község;2 380;670;334;28,15
Egerlövõ;05865;község;1 978;492;275;24,87
Egerszalók;24758;község;2 311;2 037;797;88,14
Egerszólát;13648;község;2 610;1 013;442;38,81
Égerszög;13356;község;1 077;51;45;4,74
Egervár;33428;község;1 028;1 007;386;97,96
Egervölgy;28796;község;886;331;227;37,36
Egyed;20288;község;1 343;527;239;39,24
Egyek;15741;nagyközség;10 476;5 020;2 297;47,92
Egyházasdengeleg;17659;község;1 574;444;216;28,21
Egyházasfalu;15237;község;2 164;891;362;41,17
Egyházasgerge;05980;község;1 537;730;365;47,50
Egyházasharaszti;16498;község;1 099;275;129;25,02
Egyházashetye;10232;község;1 320;320;177;24,24
Egyházashollós;30429;község;1 904;538;261;28,26
Egyházaskeszõ;10445;község;2 012;516;248;25,65
Egyházaskozár;27401;község;2 431;748;341;30,77
Egyházasrádóc;25946;község;2 479;1 267;523;51,11
Elek;32957;város;5 491;4 631;2 006;84,34
Ellend;06099;község;799;182;98;22,78
Elõszállás;20358;nagyközség;3 998;2 188;953;54,73
Emõd;04677;város;4 937;4 716;1 955;95,52
Encs;33048;város;2 580;6 341;2 263;245,78
Encsencs;32328;község;3 190;1 921;655;60,22
Endrefalva;25496;község;1 323;1 193;454;90,17
Endrõc;28273;község;1 133;352;132;31,07
Enese;15033;község;1 989;1 761;618;88,54
Enying;02802;város;8 278;6 671;2 619;80,59
Eperjes;22992;község;7 389;509;299;6,89
Eperjeske;18528;község;1 384;1 248;384;90,17
Eplény;33941;község;828;482;186;58,21
Epöl;29638;község;1 252;623;260;49,76
Ercsi;23603;város;6 531;8 016;3 171;122,74
Érd;30988;megyei jogú város;6 331;65 857;24 388;1040,23
Erdõbénye;25326;község;4 580;1 053;747;22,99
Erdõhorváti;22503;község;5 011;626;307;12,49
Erdõkertes;13480;község;575;7 861;2 839;1367,13
Erdõkövesd;28556;község;1 718;662;302;38,53
Erdõkürt;22655;község;2 172;473;264;21,78
Erdõsmárok;25821;község;814;84;41;10,32
Erdõsmecske;18704;község;2 644;334;188;12,63
Erdõtarcsa;21795;község;1 507;466;240;30,92
Erdõtelek;24235;község;4 490;3 144;1 372;70,02
Erk;20118;község;2 168;913;350;42,11
Érpatak;10852;község;3 165;1 687;665;53,30
Érsekcsanád;11864;község;5 829;2 777;1 043;47,64
Érsekhalma;33589;község;2 756;568;292;20,61
Érsekvadkert;21582;község;5 537;3 497;1 392;63,16
Értény;08448;község;2 995;795;277;26,54
Erzsébet;13499;község;975;260;127;26,67
Esztár;25469;község;3 171;1 305;517;41,15
Eszteregnye;06178;község;2 009;655;286;32,60
Esztergályhorváti;15769;község;1 669;422;208;25,28
Esztergom;25131;város;10 011;27 979;12 437;279,48
Ete;06664;község;2 062;614;247;29,78
Etes;15370;község;1 580;1 351;695;85,51
Etyek;02316;nagyközség;5 327;4 119;1 589;77,32
Fábiánháza;23250;község;2 735;1 740;753;63,62
Fábiánsebestyén;19974;község;7 173;1 921;900;26,78
Fácánkert;24192;község;1 070;637;284;59,53
Fadd;18980;nagyközség;6 754;4 052;1 594;59,99
Fáj;02741;község;1 932;447;91;23,14
Fajsz;03230;község;3 199;1 632;846;51,02
Fancsal;12557;község;977;284;150;29,07
Farád;33996;község;2 879;1 927;733;66,93
Farkasgyepû;10250;község;1 005;350;162;34,83
Farkaslyuk;34272;község;548;1 888;598;344,53
Farmos;09122;község;4 012;3 441;1 541;85,77
Fazekasboda;17835;község;702;189;96;26,92
Fedémes;12432;község;862;310;167;35,96
Fegyvernek;16647;város;7 148;6 246;2 643;87,38
Fehérgyarmat;18971;város;5 246;8 019;3 272;152,86
Fehértó;06956;község;1 138;465;223;40,86
Fehérvárcsurgó;32203;község;2 964;1 948;760;65,72
Feked;04543;község;1 933;209;109;10,81
Feketeerdõ;32717;község;674;565;208;83,83
Felcsút;29939;község;2 202;1 800;722;81,74
Feldebrõ;20747;község;2 652;927;551;34,95
Felgyõ;22646;község;7 673;1 155;570;15,05
Felpéc;33251;község;2 247;858;364;38,18
Felsõberecki;08174;község;353;250;116;70,82
Felsõcsatár;13587;község;1 790;476;186;26,59
Felsõdobsza;09742;község;1 523;945;317;62,05
Felsõegerszeg;13286;község;484;124;64;25,62
Felsõgagy;29708;község;1 447;225;80;15,55
Felsõjánosfa;08013;község;306;185;89;60,46
Felsõkelecsény;31723;község;799;327;134;40,93
Felsõlajos;33598;község;1 141;886;384;77,65
Felsõmarác;29841;község;1 744;213;184;12,21
Felsõmocsolád;13985;község;1 651;361;252;21,87
Felsõnána;15820;község;1 891;594;238;31,41
Felsõnyárád;32762;község;1 167;957;388;82,01
Felsõnyék;17914;község;3 202;972;491;30,36
Felsõörs;24369;község;1 723;1 691;580;98,14
Felsõpáhok;11642;község;727;656;325;90,23
Felsõpakony;06035;nagyközség;1 533;3 430;1 224;223,74
Felsõpetény;24323;község;1 450;573;266;39,52
Felsõrajk;21476;község;2 054;748;326;36,42
Felsõregmec;07588;község;1 075;328;88;30,51
Felsõszenterzsébet;30890;község;824;17;16;2,06
Felsõszentiván;02954;község;5 354;1 779;842;33,23
Felsõszentmárton;08819;község;1 946;870;507;44,71
Felsõszölnök;23287;község;2 356;572;291;24,28
Felsõtárkány;16328;község;7 732;3 548;1 315;45,89
Felsõtelekes;31671;község;845;671;286;79,41
Felsõtold;33312;község;1 083;119;104;10,99
Felsõvadász;23533;község;1 864;547;177;29,35
Felsõzsolca;02848;város;1 625;6 470;2 179;398,15
Fényeslitke;22415;község;2 515;2 407;866;95,71
Fenyõfõ;30678;község;2 965;105;84;3,54
Ferencszállás;18999;község;579;596;269;102,94
Fertõboz;11253;község;1 367;324;117;23,70
Fertõd;09885;város;4 855;3 333;1 434;68,65
Fertõendréd;09487;község;1 509;651;252;43,14
Fertõhomok;10658;község;1 261;786;256;62,33
Fertõrákos;12414;község;2 189;2 276;919;103,97
Fertõszentmiklós;15343;város;3 938;3 887;1 484;98,70
Fertõszéplak;31440;község;2 178;1 322;485;60,70
Fiad;31644;község;1 491;115;79;7,71
Filkeháza;25238;község;441;113;42;25,62
Fityeház;19187;község;650;634;253;97,54
Foktõ;02149;község;3 146;1 547;737;49,17
Folyás;34014;község;5 394;288;146;5,34
Fonó;22026;község;1 061;248;148;23,37
Fony;17932;község;4 056;302;226;7,45
Fonyód;14632;város;5 355;4 773;2 597;89,13
Forráskút;33020;község;3 667;2 234;1 012;60,92
Forró;30483;község;1 903;2 496;811;131,16
Fót;32610;város;3 740;19 291;7 256;515,80
Földeák;09210;község;3 637;2 967;1 458;81,58
Földes;03258;nagyközség;6 524;3 886;1 722;59,56
Fõnyed;22707;község;573;72;53;12,57
Fulókércs;22123;község;1 860;392;113;21,08
Furta;16993;község;4 286;1 169;583;27,27
Füle;06114;község;3 032;852;403;28,10
Fülesd;10791;község;1 505;481;171;31,96
Fülöp;22150;község;5 595;1 753;719;31,33
Fülöpháza;31468;község;4 706;842;445;17,89
Fülöpjakab;33622;község;2 316;1 098;512;47,41
Fülöpszállás;14058;község;9 132;2 129;1 166;23,31
Fülpösdaróc;14377;község;425;324;115;76,24
Fürged;17950;község;2 676;708;249;26,46
Füzér;17109;község;3 749;404;219;10,78
Füzérkajata;06460;község;1 144;107;78;9,35
Füzérkomlós;11378;község;587;275;134;46,85
Füzérradvány;10366;község;981;297;207;30,28
Füzesabony;03276;város;4 634;7 461;3 130;161,01
Füzesgyarmat;12256;város;12 734;5 635;2 403;44,25
Fûzvölgy;16531;község;314;126;59;40,13
Gáborján;18175;község;2 646;852;375;32,20
Gáborjánháza;17516;község;507;75;62;14,79
Gacsály;13727;község;1 982;988;298;49,85
Gadács;28264;község;386;92;60;23,83
Gadány;26222;község;1 970;308;143;15,63
Gadna;05494;község;809;279;72;34,49
Gádoros;09511;nagyközség;3 813;3 411;1 769;89,46
Gagyapáti;28732;község;323;19;14;5,88
Gagybátor;28307;község;1 877;195;95;10,39
Gagyvendégi;03744;község;1 232;203;101;16,48
Galambok;12991;község;2 591;1 234;554;47,63
Galgaguta;25663;község;1 589;624;285;39,27
Galgagyörk;13295;község;1 472;1 023;350;69,50
Galgahévíz;19503;község;3 118;2 494;994;79,99
Galgamácsa;27128;község;4 331;1 761;741;40,66
Gálosfa;06585;község;1 976;200;114;10,12
Galvács;19293;község;1 504;84;75;5,59
Gamás;06451;község;4 292;742;372;17,29
Ganna;12742;község;1 547;218;122;14,09
Gánt;15750;község;5 815;865;270;14,88
Gara;31848;község;5 996;2 323;921;38,74
Garáb;18494;község;820;55;59;6,71
Garabonc;12946;község;1 856;670;265;36,10
Garadna;10904;község;975;353;184;36,21
Garbolc;04996;község;724;136;66;18,78
Gárdony;10296;város;6 350;10 855;4 551;170,94
Garé;07560;község;853;276;111;32,36
Gasztony;30906;község;1 427;414;211;29,01
Gátér;26383;község;3 089;881;466;28,52
Gávavencsellõ;05801;nagyközség;6 682;3 411;1 559;51,05
Géberjén;03629;község;538;491;202;91,26
Gecse;09292;község;934;402;188;43,04
Géderlak;03577;község;1 874;984;469;52,51
Gégény;05670;község;2 344;1 905;723;81,27
Gelej;23719;község;3 212;600;270;18,68
Gelénes;04613;község;2 055;616;238;29,98
Gellénháza;08068;község;524;1 550;643;295,80
Gelse;12089;község;2 246;1 074;449;47,82
Gelsesziget;09089;község;498;249;106;50,00
Gemzse;13000;község;1 359;911;283;67,03
Gencsapáti;24183;község;2 239;2 688;941;120,05
Gérce;26152;község;1 830;1 151;502;62,90
Gerde;12751;község;1 276;504;194;39,50
Gerendás;07393;község;4 078;1 253;682;30,73
Gerényes;13347;község;1 234;242;98;19,61
Geresdlak;02857;község;2 528;756;402;29,91
Gerjen;05731;község;3 628;1 192;517;32,86
Gersekarát;30942;község;1 992;638;335;32,03
Geszt;17394;község;5 139;776;338;15,10
Gesztely;15608;község;2 882;2 646;949;91,81
Geszteréd;28893;község;3 351;1 703;745;50,82
Gétye;20039;község;666;101;94;15,17
Gibárt;20969;község;533;320;156;60,04
Gic;16717;község;1 968;343;145;17,43
Gige;09177;község;1 319;374;132;28,35
Gilvánfa;18333;község;1 543;372;113;24,11
Girincs;21564;község;1 120;850;288;75,89
Gógánfa;18193;község;1 317;791;315;60,06
Golop;13134;község;943;550;288;58,32
Gomba;09441;község;3 971;2 975;1 074;74,92
Gombosszeg;17613;község;216;46;34;21,30
Gór;11156;község;1 099;292;183;26,57
Gordisa;33084;község;1 088;265;96;24,36
Gosztola;13569;község;698;63;43;9,03
Göd;23649;város;2 444;18 625;7 103;762,07
Gödöllõ;32559;város;6 193;32 408;12 711;523,30
Gödre;33233;község;3 993;810;396;20,29
Gölle;30571;község;4 469;872;431;19,51
Gömörszõlõs;09706;község;877;89;46;10,15
Gönc;15936;város;3 727;2 012;902;53,98
Göncruszka;18643;község;1 669;670;312;40,14
Gönyû;02060;község;2 163;3 038;1 159;140,45
Görbeháza;16568;község;8 020;2 366;1 031;29,50
Görcsöny;30438;község;1 852;1 501;528;81,05
Görcsönydoboka;09636;község;951;362;178;38,07
Görgeteg;14599;község;3 350;1 141;436;34,06
Gõsfa;29771;község;1 045;299;132;28,61
Grábóc;26727;község;1 373;175;84;12,75
Gulács;29443;község;2 335;1 019;366;43,64
Gutorfölde;02097;község;2 485;918;475;36,94
Gyál;25627;város;2 493;23 360;8 195;937,02
Gyalóka;17969;község;393;62;50;15,78
Gyanógeregye;27030;község;707;155;64;21,92
Gyarmat;26860;község;2 245;1 320;569;58,80
Gyékényes;30960;község;3 376;994;465;29,44
Gyenesdiás;23302;nagyközség;1 850;3 667;1 765;198,22
Gyepükaján;28671;község;911;313;158;34,36
Gyermely;06521;község;4 546;1 453;541;31,96
Gyód;18315;község;325;662;253;203,69
Gyomaendrõd;33455;város;30 394;12 999;6 432;42,77
Gyóró;23843;község;1 164;384;169;32,99
Gyömöre;20400;község;2 049;1 221;514;59,59
Gyömrõ;29735;város;2 651;17 751;6 341;669,60
Gyöngyfa;28404;község;878;133;52;15,15
Gyöngyös;05236;város;5 531;29 576;14 825;534,73
Gyöngyösfalu;11943;község;965;1 150;406;119,17
Gyöngyöshalász;17534;község;2 713;2 489;1 056;91,74
Gyöngyösmellék;22664;község;1 002;304;99;30,34
Gyöngyösoroszi;13338;község;2 139;1 525;570;71,29
Gyöngyöspata;08323;város;6 075;2 415;1 055;39,75
Gyöngyössolymos;19123;község;6 485;2 792;1 267;43,05
Gyöngyöstarján;28088;község;4 639;2 331;982;50,25
Gyönk;30289;város;3 811;1 905;682;49,99
Gyõr;25584;megyeszékhely, megyei jogú város;17 462;129 301;59 507;740,47
Gyõrasszonyfa;08721;község;648;509;201;78,55
Györe;25539;község;1 132;664;251;58,66
Györgytarló;05069;község;3 019;516;211;17,09
Györköny;12326;község;3 160;940;447;29,75
Gyõrladamér;13198;község;861;1 720;578;199,77
Gyõröcske;28945;község;211;172;54;81,52
Gyõrság;31316;község;820;1 470;591;179,27
Gyõrsövényház;19309;község;2 421;790;320;32,63
Gyõrszemere;15653;község;3 311;3 324;1 177;100,39
Gyõrtelek;10126;község;1 478;1 582;476;107,04
Gyõrújbarát;07481;község;3 361;6 838;2 362;203,45
Gyõrújfalu;31787;község;737;1 922;704;260,79
Gyõrvár;09724;község;1 659;639;286;38,52
Gyõrzámoly;15228;község;2 638;2 829;945;107,24
Gyugy;23904;község;1 531;294;139;19,20
Gyula;05032;város;25 579;30 004;14 352;117,30
Gyulaháza;07676;község;2 207;1 922;665;87,09
Gyulaj;30359;község;7 082;977;343;13,80
Gyulakeszi;09520;község;967;679;257;70,22
Gyúró;15918;község;2 437;1 273;488;52,24
Gyügye;19558;község;433;248;135;57,27
Gyüre;33774;község;1 587;1 302;430;82,04
Gyûrûs;12539;község;419;93;51;22,20
Hács;18634;község;2 128;360;188;16,92
Hagyárosbörönd;10931;község;1 125;289;136;25,69
Hahót;10269;község;3 901;999;490;25,61
Hajdúbagos;26170;község;3 744;1 976;856;52,78
Hajdúböszörmény;03045;város;37 075;30 717;12 413;82,85
Hajdúdorog;12803;város;10 065;8 593;3 608;85,38
Hajdúhadház;10393;város;8 782;12 748;4 217;145,16
Hajdúnánás;22406;város;25 964;16 908;6 939;65,12
Hajdúsámson;31097;város;6 947;13 216;4 774;190,24
Hajdúszoboszló;05175;város;23 862;23 781;11 484;99,66
Hajdúszovát;17473;község;5 800;3 042;1 108;52,45
Hajmás;25830;község;1 111;226;75;20,34
Hajmáskér;15361;község;3 814;2 867;1 277;75,17
Hajós;18759;város;8 992;2 948;1 375;32,78
Halastó;29452;község;565;79;64;13,98
Halászi;26790;község;3 645;3 174;1 138;87,08
Halásztelek;09690;város;864;10 131;3 834;1172,57
Halimba;07898;község;1 262;1 127;443;89,30
Halmaj;27942;község;1 259;1 838;598;145,99
Halmajugra;11411;község;2 168;1 309;445;60,38
Halogy;10676;község;705;262;142;37,16
Hangács;11226;község;2 253;555;243;24,63
Hangony;25104;község;3 914;1 583;586;40,44
Hantos;23427;község;3 696;947;371;25,62
Harasztifalu;05713;község;789;155;84;19,65
Harc;14164;község;1 586;855;332;53,91
Harka;07649;község;1 100;2 299;705;209,00
Harkakötöny;08350;község;5 270;836;386;15,86
Harkány;21528;város;2 569;4 454;2 065;173,37
Háromfa;08837;község;4 214;754;324;17,89
Háromhuta;12706;község;3 780;103;77;2,72
Harsány;05847;község;3 653;2 003;824;54,83
Hárskút;25566;község;3 446;671;243;19,47
Harta;18458;nagyközség;12 968;3 271;1 598;25,22
Hásságy;27881;község;800;261;140;32,63
Hatvan;22309;város;6 631;20 200;8 973;304,63
Hédervár;12308;község;1 428;1 244;456;87,11
Hedrehely;16726;község;2 551;375;178;14,70
Hegyesd;02422;község;1 105;150;92;13,57
Hegyeshalom;17905;nagyközség;5 266;3 440;1 457;65,32
Hegyfalu;32188;község;1 189;789;310;66,36
Hegyháthodász;14997;község;808;160;100;19,80
Hegyhátmaróc;30951;község;759;131;87;17,26
Hegyhátsál;30216;község;458;157;89;34,28
Hegyhátszentjakab;18032;község;947;253;167;26,72
Hegyhátszentmárton;21838;község;1 274;60;54;4,71
Hegyhátszentpéter;08226;község;684;141;89;20,61
Hegykõ;18403;község;2 680;1 661;574;61,98
Hegymagas;25803;község;789;272;132;34,47
Hegymeg;02468;község;570;122;55;21,40
Hegyszentmárton;21023;község;1 878;406;159;21,62
Héhalom;03993;község;1 867;982;407;52,60
Hejce;22187;község;952;199;180;20,90
Hejõbába;06655;község;1 872;1 910;547;102,03
Hejõkeresztúr;04604;község;1 028;1 023;411;99,51
Hejõkürt;02282;község;1 491;275;147;18,44
Hejõpapi;16780;község;1 702;1 113;413;65,39
Hejõszalonta;12159;község;1 097;828;249;75,48
Helesfa;17190;község;987;481;136;48,73
Helvécia;04093;nagyközség;5 647;4 552;1 701;80,61
Hencida;29391;község;3 479;1 151;435;33,08
Hencse;09946;község;711;320;140;45,01
Herceghalom;33552;község;734;2 599;911;354,09
Hercegkút;30137;község;781;674;250;86,30
Hercegszántó;12937;község;6 855;1 985;1 113;28,96
Heréd;20242;község;1 396;1 840;788;131,81
Héreg;11891;község;2 714;1 012;435;37,29
Herencsény;05324;község;3 318;581;293;17,51
Herend;23658;város;1 956;3 373;1 319;172,44
Heresznye;24846;község;990;203;160;20,51
Hermánszeg;12061;község;520;242;135;46,54
Hernád;09849;nagyközség;2 706;4 008;1 503;148,12
Hernádbûd;15839;község;591;121;82;20,47
Hernádcéce;09399;község;991;201;121;20,28
Hernádkak;24165;község;1 090;1 608;554;147,52
Hernádkércs;21829;község;741;277;145;37,38
Hernádnémeti;31200;nagyközség;2 876;3 368;1 214;117,11
Hernádpetri;24882;község;1 708;215;106;12,59
Hernádszentandrás;17136;község;704;415;150;58,95
Hernádszurdok;24970;község;448;151;101;33,71
Hernádvécse;19840;község;1 694;1 116;287;65,88
Hernyék;19895;község;1 031;75;65;7,27
Hét;08004;község;371;453;205;122,10
Hetefejércse;05616;község;1 545;285;106;18,45
Hetes;09928;község;2 663;1 207;407;45,32
Hetvehely;07126;község;2 138;488;160;22,83
Hetyefõ;15088;község;411;81;50;19,71
Heves;14526;város;9 931;10 412;4 143;104,84
Hevesaranyos;10241;község;1 702;581;269;34,14
Hevesvezekény;04084;község;1 978;621;305;31,40
Hévíz;03814;város;830;4 617;3 790;556,27
Hévízgyörk;13949;község;2 285;3 031;1 149;132,65
Hidas;06798;község;1 906;2 051;808;107,61
Hidasnémeti;11697;község;1 607;1 114;449;69,32
Hidegkút;20756;község;1 358;421;188;31,00
Hidegség;23375;község;1 682;421;164;25,03
Hidvégardó;25672;község;1 699;535;281;31,49
Himesháza;27933;község;1 754;997;448;56,84
Himod;04020;község;2 270;608;381;26,78
Hirics;03285;község;1 468;244;79;16,62
Hobol;33932;község;1 827;950;345;52,00
Hodász;13019;nagyközség;2 649;3 465;1 111;130,80
Hódmezõvásárhely;08314;megyei jogú város;48 798;44 009;20 218;90,19
Hollád;06211;község;820;211;158;25,73
Hollóháza;31167;község;236;755;431;319,92
Hollókõ;33242;község;518;322;226;62,16
Homokbödöge;27818;község;1 615;648;295;40,12
Homokkomárom;24873;község;1 670;201;88;12,04
Homokmégy;27845;község;7 032;1 280;713;18,20
Homokszentgyörgy;19150;község;4 964;1 038;481;20,91
Homorúd;29966;község;4 473;546;395;12,21
Homrogd;21236;község;1 343;871;318;64,85
Hont;13204;község;2 413;451;304;18,69
Horpács;13718;község;672;157;92;23,36
Hort;04145;nagyközség;4 309;3 585;1 590;83,20
Hortobágy;04118;község;28 460;1 410;625;4,95
Horváthertelend;23074;község;536;56;27;10,45
Horvátlövõ;12733;község;616;179;75;29,06
Horvátzsidány;16887;község;1 217;806;333;66,23
Hosszúhetény;30836;község;4 527;3 351;1 194;74,02
Hosszúpályi;06266;nagyközség;7 918;5 579;2 063;70,46
Hosszúpereszteg;20880;község;3 700;606;395;16,38
Hosszúvíz;30775;község;710;46;32;6,48
Hosszúvölgy;11208;község;360;157;76;43,61
Hosztót;07250;község;727;57;50;7,84
Hottó;28325;község;670;322;135;48,06
Hõgyész;26055;nagyközség;3 715;2 767;1 113;74,48
Hövej;10029;község;852;302;168;35,45
Hugyag;16878;község;1 090;844;328;77,43
Hunya;33297;község;3 257;631;395;19,37
Hunyadfalva;34050;község;535;169;101;31,59
Husztót;31431;község;675;54;42;8,00
Ibafa;33066;község;2 930;217;94;7,41
Iborfia;03188;község;259;8;17;3,09
